tenantcode,email,employeecode,attendancedate,systemintime,systemouttime,manualintime,manualouttime,appliedreason,applieddate,appliedby,status,statuschangedby,statuschangeddate,statuschangedreason,createddate,createdby,modifieddate,modifiedby,reportingto,attendancetype
P5C9754020,korbin.schuppe@namco.com,100000003452,2023-07-01,19:35,14:27,10:15,21:34,On Duty,2023-07-01,100000003452,Rejected,,,,2023-07-01,100000003452,,,100000001917,WorkingDay
P5C9754020,korbin.schuppe@namco.com,100000003452,2023-06-28,02:15,03:35,20:13,16:35,Forgot To Punch,2023-06-28,100000003452,Rejected,,,,2023-06-28,100000003452,,,100000001917,WorkingDay
P5C9754020,korbin.schuppe@namco.com,100000003452,2023-06-29,00:46,11:25,03:16,05:47,Work From Home,2023-06-29,100000003452,Rejected,,,,2023-06-29,100000003452,,,100000001917,WorkingDay
P5C9754020,korbin.schuppe@namco.com,100000003452,2023-06-26,19:36,04:18,20:56,22:59,Work From Home,2023-06-26,100000003452,Rejected,,,,2023-06-26,100000003452,,,100000001917,WorkingDay
P5C9754020,korbin.schuppe@namco.com,100000003452,2023-06-27,08:37,01:18,12:10,09:56,On Duty,2023-06-27,100000003452,Rejected,,,,2023-06-27,100000003452,,,100000001917,WorkingDay
P5C9754020,korbin.schuppe@namco.com,100000003452,2023-06-30,22:31,01:44,17:01,23:54,Work From Home,2023-06-30,100000003452,Cancelled,,,,2023-06-30,100000003452,,,100000001917,WorkingDay
P5C9754020,otto.watsica@namco.com,100000003453,2023-06-29,08:50,11:51,16:36,04:54,Forgot To Punch,2023-06-29,100000003453,Pending,,,,2023-06-29,100000003453,,,100000001917,WorkingDay
P5C9754020,otto.watsica@namco.com,100000003453,2023-06-26,14:24,21:12,01:29,07:16,On Duty,2023-06-26,100000003453,Rejected,,,,2023-06-26,100000003453,,,100000001917,WorkingDay
P5C9754020,otto.watsica@namco.com,100000003453,2023-07-01,06:28,00:30,00:06,05:53,Shift Correction,2023-07-01,100000003453,Rejected,,,,2023-07-01,100000003453,,,100000001917,WorkingDay
P5C9754020,otto.watsica@namco.com,100000003453,2023-06-28,01:30,21:53,00:59,08:54,Others,2023-06-28,100000003453,Cancelled,,,,2023-06-28,100000003453,,,100000001917,WorkingDay
P5C9754020,otto.watsica@namco.com,100000003453,2023-06-30,21:08,13:48,10:31,01:02,On Duty,2023-06-30,100000003453,Rejected,,,,2023-06-30,100000003453,,,100000001917,WorkingDay
P5C9754020,otto.watsica@namco.com,100000003453,2023-06-27,08:22,20:35,11:14,13:36,Shift Correction,2023-06-27,100000003453,Rejected,,,,2023-06-27,100000003453,,,100000001917,WorkingDay
P5C9754020,gia.moen@namco.com,100000003454,2023-06-30,13:21,12:21,06:40,21:52,On Duty,2023-06-30,100000003454,Rejected,,,,2023-06-30,100000003454,,,100000001917,WorkingDay
P5C9754020,gia.moen@namco.com,100000003454,2023-07-01,01:04,17:54,11:24,16:34,Forgot To Punch,2023-07-01,100000003454,Rejected,,,,2023-07-01,100000003454,,,100000001917,WorkingDay
P5C9754020,gia.moen@namco.com,100000003454,2023-06-29,08:12,07:14,19:35,15:41,Shift Correction,2023-06-29,100000003454,Rejected,,,,2023-06-29,100000003454,,,100000001917,WorkingDay
P5C9754020,gia.moen@namco.com,100000003454,2023-06-27,04:56,10:30,11:32,13:14,Shift Correction,2023-06-27,100000003454,Rejected,,,,2023-06-27,100000003454,,,100000001917,WorkingDay
P5C9754020,gia.moen@namco.com,100000003454,2023-06-26,08:58,14:53,22:06,07:54,Shift Correction,2023-06-26,100000003454,Rejected,,,,2023-06-26,100000003454,,,100000001917,WorkingDay
P5C9754020,gia.moen@namco.com,100000003454,2023-06-28,05:13,00:06,07:31,16:38,Shift Correction,2023-06-28,100000003454,Pending,,,,2023-06-28,100000003454,,,100000001917,WorkingDay
P5C9754020,delores.mante@namco.com,100000003455,2023-06-26,04:35,07:25,06:23,23:26,Shift Correction,2023-06-26,100000003455,Cancelled,,,,2023-06-26,100000003455,,,100000001917,WorkingDay
P5C9754020,delores.mante@namco.com,100000003455,2023-06-27,14:49,21:56,16:29,02:16,Work From Home,2023-06-27,100000003455,Rejected,,,,2023-06-27,100000003455,,,100000001917,WorkingDay
P5C9754020,delores.mante@namco.com,100000003455,2023-07-01,03:50,16:55,21:15,09:04,Forgot To Punch,2023-07-01,100000003455,Pending,,,,2023-07-01,100000003455,,,100000001917,WorkingDay
P5C9754020,delores.mante@namco.com,100000003455,2023-06-30,01:01,03:06,22:56,20:14,Work From Home,2023-06-30,100000003455,Rejected,,,,2023-06-30,100000003455,,,100000001917,WorkingDay
P5C9754020,delores.mante@namco.com,100000003455,2023-06-29,08:14,08:31,06:49,12:37,On Duty,2023-06-29,100000003455,Pending,,,,2023-06-29,100000003455,,,100000001917,WorkingDay
P5C9754020,delores.mante@namco.com,100000003455,2023-06-28,03:48,20:19,18:53,14:46,Shift Correction,2023-06-28,100000003455,Rejected,,,,2023-06-28,100000003455,,,100000001917,WorkingDay
P5C9754020,susan.mcglynn@namco.com,100000003456,2023-06-27,00:41,13:41,17:04,01:42,On Duty,2023-06-27,100000003456,Rejected,,,,2023-06-27,100000003456,,,100000001917,WorkingDay
P5C9754020,susan.mcglynn@namco.com,100000003456,2023-06-30,00:39,21:07,11:03,03:31,Shift Correction,2023-06-30,100000003456,Pending,,,,2023-06-30,100000003456,,,100000001917,WorkingDay
P5C9754020,susan.mcglynn@namco.com,100000003456,2023-06-29,02:26,07:47,15:09,11:52,Others,2023-06-29,100000003456,Rejected,,,,2023-06-29,100000003456,,,100000001917,WorkingDay
P5C9754020,susan.mcglynn@namco.com,100000003456,2023-07-01,07:46,21:53,18:27,02:58,Shift Correction,2023-07-01,100000003456,Rejected,,,,2023-07-01,100000003456,,,100000001917,WorkingDay
